Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR
1,0.9652101620779687,0.01563856352855253,0.4661631976070181,0.4249766328946092,20.490537414356456
2,1.0005958068192207,0.00998022257759555,0.6856881962731703,0.6853843490359517,21.971006924596278
3,1.0032559156763547,0.008959592214244009,0.6136480784750377,0.6158317602331826,22.08718290018334
4,1.002543540436499,0.008639257166709314,0.5255223567961724,0.5276092756422549,22.6379793476727
5,1.0026253169720274,0.008143876134132118,0.7526538794947569,0.7548795473523737,22.922898126695728
6,1.0,0.00764518473729484,1.0,1.0,22.923113137821474
7,1.0,0.007555660052128666,1.0,1.0,22.87225601323346
8,1.0,0.0074320536290478625,1.0,1.0,22.20483019446987
9,1.0,0.007431977370653955,1.0,1.0,22.630766008097858
10,1.0,0.007305143654450896,1.0,1.0,22.940084998203258
11,1.0,0.0072643108080321745,1.0,1.0,23.003068399263956
12,1.0,0.007252046302295844,1.0,1.0,23.109965813730827
13,1.0,0.007157496857709387,1.0,1.0,22.960113888355803
14,1.0,0.007107180548195334,1.0,1.0,23.06081050029271
15,1.0,0.007004192225462201,1.0,1.0,23.064040830602245
16,1.0,0.0070775485943702175,1.0,1.0,23.00473285344029
17,1.0,0.006906891298611321,1.0,1.0,23.150983815954326
18,1.0,0.007030770222221152,1.0,1.0,23.167060020105517
19,1.0,0.006864651320560679,1.0,1.0,23.18041829164308
20,1.0,0.0068771211752724735,1.0,1.0,23.10337165807763
21,1.0,0.007071067927942695,1.0,1.0,23.13438872370842
22,1.0,0.006902792793507303,1.0,1.0,23.203669122762705
23,1.0,0.006748540649697393,1.0,1.0,23.265229654242546
24,1.0,0.006894460690661062,1.0,1.0,23.171312370592684
25,1.0,0.006841379601765854,1.0,1.0,23.09455626415858
26,1.0,0.0068480238856800865,1.0,1.0,23.254359652410063
27,1.0,0.006709415719467641,1.0,1.0,23.220701028211334
28,1.0,0.006637055225289526,1.0,1.0,23.29699596919007
29,1.0,0.0066710518917933994,1.0,1.0,23.298437106617808
30,1.0,0.006666388428365338,1.0,1.0,23.26461533284234
31,1.0,0.006647757554778792,1.0,1.0,23.298326099903797
32,1.0,0.006645643159948783,1.0,1.0,23.264923129350052
33,1.0,0.006667800633432123,1.0,1.0,23.288295576406377
34,1.0,0.006678873606011769,1.0,1.0,23.286803812280276
35,1.0,0.006584648565970336,1.0,1.0,23.212277082640004
36,1.0,0.006587107634102523,1.0,1.0,23.297320398622453
37,1.0,0.006618488907684388,1.0,1.0,23.330287075607803
38,1.0,0.006527307344291768,1.0,1.0,23.337749241655224
39,1.0,0.006598989133992709,1.0,1.0,23.376876204552964
40,1.0,0.006597404449695605,1.0,1.0,23.260978558105457
41,1.0,0.006541316638983797,1.0,1.0,23.34656343085497
42,1.0,0.006524901480156048,1.0,1.0,23.335568259521704
43,1.0,0.006557511946716678,1.0,1.0,23.26483594859419
44,1.0,0.0065623796691261895,1.0,1.0,23.31468600114397
45,1.0,0.006477466865216277,1.0,1.0,23.303803902956027
46,1.0,0.00654102143065877,1.0,1.0,23.35881503651736
47,1.0,0.006376455137807715,1.0,1.0,21.177848477353184
48,1.0,0.0069652170176024075,1.0,1.0,23.345973082593634
49,1.0,0.006533745273186093,1.0,1.0,23.37799395603906
50,1.0,0.006476529825743469,1.0,1.0,23.383241500715837
51,1.0,0.006485484164602489,1.0,1.0,23.394331224213943
52,1.0,0.006504422523182132,1.0,1.0,23.330084843012987
53,1.0,0.006537989270321957,1.0,1.0,23.368692423536423
54,1.0,0.006399998484551186,1.0,1.0,23.369135093869183
55,1.0,0.0064993537143196905,1.0,1.0,23.418024508789067
56,1.0,0.00641418330248944,1.0,1.0,23.353406531124023
57,1.0,0.006433734779663423,1.0,1.0,23.2868094085189
58,1.0,0.0064533035142132055,1.0,1.0,23.38186504069646
59,1.0,0.006399385097903393,1.0,1.0,22.936616192118315
60,1.0,0.006342054259188657,1.0,1.0,21.975233469794567
61,1.0,0.006647674381461061,1.0,1.0,23.386413057383248
62,1.0,0.006437827379939247,1.0,1.0,23.387148622432967
63,1.0,0.006427175218870511,1.0,1.0,23.43716743723149
64,1.0,0.006364053098031141,1.0,1.0,23.43259803243637
65,1.0,0.00641947462520107,1.0,1.0,23.320710252565256
66,1.0,0.006375302608791557,1.0,1.0,23.353310698615438
67,1.0,0.006394001513264026,1.0,1.0,23.325047845744855
68,1.0,0.006430413951415797,1.0,1.0,23.391580035876096
69,1.0,0.006385146698758273,1.0,1.0,23.41090760646299
70,1.0,0.006377925229141351,1.0,1.0,23.404354605664178
71,1.0,0.006422558765401078,1.0,1.0,23.418337609193213
72,1.0,0.00632148005658875,1.0,1.0,23.406109633589686
73,1.0,0.006388048958951592,1.0,1.0,23.416886237852136
74,1.0,0.006398867230111559,1.0,1.0,23.416586611514
75,1.0,0.006288712745673735,1.0,1.0,23.400790028236923
76,1.0,0.006323691367483646,1.0,1.0,23.438375165732822
77,1.0,0.006369967278049887,1.0,1.0,23.43521971049519
78,1.0,0.006364035145651933,1.0,1.0,23.34988628414285
79,1.0,0.006397927024187011,1.0,1.0,23.33542622411079
80,1.0,0.006352313326958904,1.0,1.0,23.410090532897133
81,1.0,0.006331812416834855,1.0,1.0,23.403113768429407
82,1.0,0.006324403324655544,1.0,1.0,23.448421537742135
83,1.0,0.00626033639788282,1.0,1.0,23.37543558292658
84,1.0,0.006341878277483253,1.0,1.0,23.024878625151754
85,1.0,0.006309609467441864,1.0,1.0,23.42531708247321
86,1.0,0.006331126679161743,1.0,1.0,23.43328012759674
87,1.0,0.006348464192364341,1.0,1.0,23.369253457063934
88,1.0,0.006260433133895009,1.0,1.0,23.36631935632795
89,1.0,0.006336590044475901,1.0,1.0,23.44185324048361
90,1.0,0.006306226700616378,1.0,1.0,23.446643073902706
91,1.0,0.006338325462588989,1.0,1.0,23.39629888688028
92,1.0,0.0063053985408099015,1.0,1.0,23.40478942009312
93,1.0,0.006329051287571997,1.0,1.0,23.412123866888997
94,1.0,0.006319879637036334,1.0,1.0,23.48871249076889
95,1.0,0.006313079035646922,1.0,1.0,23.413085516742264
96,1.0,0.006302145506003705,1.0,1.0,23.43743952074702
97,1.0,0.006327585668747353,1.0,1.0,23.069659616548947
98,1.0,0.006397607159220608,1.0,1.0,23.411348713940903
99,1.0,0.0063224267439602536,1.0,1.0,23.393506778751156
100,1.0,0.006303940870861693,1.0,1.0,23.46759228596532
101,1.0,0.006287877090723619,1.0,1.0,23.456869474222355
102,1.0,0.006368169579934014,1.0,1.0,23.43684968457343
103,1.0,0.006295425956461123,1.0,1.0,23.44260167220188
104,1.0,0.006303058190648469,1.0,1.0,23.427360759759743
105,1.0,0.006230527682724121,1.0,1.0,23.476720026193977
106,1.0,0.006260710132590537,1.0,1.0,23.256752411482985
107,1.0,0.006234106490250772,1.0,1.0,23.391004881605557
108,1.0,0.006293023590524237,1.0,1.0,23.21687941609332
109,1.0,0.0063236035872926,1.0,1.0,23.472249863275305
110,1.0,0.006307957337880233,1.0,1.0,23.46287238705782
111,1.0,0.0063340450492325165,1.0,1.0,23.467119572412194
112,1.0,0.0063078556373650585,1.0,1.0,23.487940796875296
113,1.0,0.006285618756591208,1.0,1.0,23.472567717450836
114,1.0,0.006328902957684583,1.0,1.0,23.457987153022117
115,1.0,0.006256986864959058,1.0,1.0,23.49089119220754
116,1.0,0.006232769627784865,1.0,1.0,23.444017790023622
117,1.0,0.006268552754303002,1.0,1.0,23.463731230612904
118,1.0,0.006238516190108641,1.0,1.0,23.41776719454581
119,1.0,0.006238292065012882,1.0,1.0,23.441307808995028
120,1.0,0.006230572947296919,1.0,1.0,23.46971662485402
121,1.0,0.006319870511515524,1.0,1.0,23.503349864793893
122,1.0,0.0063150335517844726,1.0,1.0,23.46165114567979
123,1.0,0.006266012279395106,1.0,1.0,23.486869992881267
124,1.0,0.006322396814250583,1.0,1.0,23.48631563603311
125,1.0,0.006266348649792233,1.0,1.0,23.479436261167432
126,1.0,0.006277739577204234,1.0,1.0,23.378896533643285
127,1.0,0.006261248417795533,1.0,1.0,23.464948007996355
128,1.0,0.006214758715695405,1.0,1.0,23.436848483196016
129,1.0,0.006232712698498099,1.0,1.0,23.49261931210508
130,1.0,0.006214043263925727,1.0,1.0,23.487651376309877
131,1.0,0.006185370036920757,1.0,1.0,23.41270649990305
132,1.0,0.0062380949322921085,1.0,1.0,23.50783837835053
133,1.0,0.006267145314330839,1.0,1.0,23.489595318485573
134,1.0,0.006249895323393799,1.0,1.0,23.486216752950966
135,1.0,0.00619519337401363,1.0,1.0,23.468868504679108
136,1.0,0.006254005976428209,1.0,1.0,23.345680792169475
137,1.0,0.006201353781384408,1.0,1.0,23.5014449170654
138,1.0,0.006253397866449764,1.0,1.0,23.477003629375446
139,1.0,0.006219481201747899,1.0,1.0,23.48117310637898
140,1.0,0.006173102407045068,1.0,1.0,23.494136892466344
141,1.0,0.006170746555246697,1.0,1.0,23.456976202699543
142,1.0,0.006213810852579791,1.0,1.0,23.46888907616169
143,1.0,0.006234220099676384,1.0,1.0,23.463319890519795
144,1.0,0.006228298567993492,1.0,1.0,23.50188106675208
145,1.0,0.006178828618462648,1.0,1.0,23.334511798369736
146,1.0,0.006260136981643718,1.0,1.0,23.529934708342445
147,1.0,0.006230426720199938,1.0,1.0,23.449406929338828
148,1.0,0.006190039539766404,1.0,1.0,23.525260043213294
149,1.0,0.006277857624703758,1.0,1.0,23.4760837115849
150,1.0,0.0062117757511569605,1.0,1.0,23.51761939288838
